TT,S_ th_,_i_m
1,102180110   ,4.3
2,102180111   ,7.0
3,102180112   ,8.0
4,102180113   ,8.0
5,102180114   ,7.3
6,102180115   ,3.7
7,102180116   ,6.3
8,102180119   ,8.3
9,102180120   ,2.7
10,102180121   ,6.0
11,102180122   ,5.7
12,102180123   ,8.0
13,102180124   ,9.0
14,102180125   ,8.3
15,102180127   ,7.0
16,102180128   ,0.0
17,102180129   ,1.7
18,102180131   ,3.0
19,102180132   ,6.3
20,102180133   ,6.7
21,102180135   ,6.3
22,102180136   ,7.7
23,102180137   ,7.7
24,102180138   ,9.0
25,102180139   ,3.0
26,102180140   ,6.0
27,102180141   ,9.0
28,102180143   ,4.3
29,102180144   ,6.7
30,102180145   ,2.0
31,102180147   ,8.0
32,102180148   ,6.3
33,102180149   ,8.7
34,102180150   ,8.0
35,102180151   ,8.7
36,102180152   ,7.0
37,102180154   ,6.7
38,102180155   ,7.7
39,102180156   ,5.7
40,102180157   ,6.7
41,102180158   ,5.3
42,102180159   ,0.0
43,102180160   ,6.3
44,102180161   ,7.3
45,102180162   ,9.0
46,102180163   ,6.7
47,102180164   ,6.7
48,102180165   ,7.0
49,102180166   ,6.7
50,102180167   ,7.0
51,102180168   ,8.0
52,102180169   ,6.7
53,102180170   ,5.7
54,102180171   ,9.7
55,102180172   ,7.0
56,102180173   ,8.7
57,102180174   ,9.3
58,102180175   ,7.0
59,102180176   ,9.7
60,102180177   ,9.7
61,102180178   ,5.3
62,102180180   ,9.7
63,102180182   ,7.7
64,102180183   ,9.0
65,102180185   ,7.3
66,102180186   ,7.7
67,102180187   ,8.3
68,102180188   ,8.3
69,102180189   ,5.7
70,102180190   ,9.0
71,102180191   ,9.0
72,102180192   ,9.7
73,102180193   ,8.0
74,102180194   ,8.3
75,102180195   ,8.7
76,102180196   ,5.0
77,102180197   ,8.0
78,102180198   ,9.0
79,102180199   ,9.0
80,102180200   ,9.3
81,102180201   ,9.0
82,102180202   ,0.3
83,102180203   ,4.3
84,102180204   ,6.0
85,102180205   ,9.0
86,102180206   ,4.3
87,102180207   ,8.7
88,102180208   ,7.3
89,102180209   ,8.7
90,102180210   ,8.7
91,102180211   ,0.0
92,102180212   ,6.3
93,102180213   ,9.3
94,102180214   ,9.3
95,102180215   ,6.7
96,102180216   ,8.7
97,102180217   ,8.3
98,102180218   ,10.0
99,102180219   ,9.0
100,102180220   ,8.0
101,102180221   ,9.3
102,102180222   ,10.0
103,102180224   ,8.7
104,102180225   ,9.3
105,102180226   ,8.0
106,102180228   ,10.0
107,102180229   ,7.7
108,102180230   ,10.0
109,102180231   ,9.3
110,102180232   ,6.0
111,102180233   ,9.0
112,102180234   ,7.7
113,102180235   ,9.7
114,102180236   ,9.3
115,102180237   ,8.7
116,102190202   ,8.0